| X | Eng_gen_monitor_PCM[per]                                                 |
| X | Eng_gen_desired_voltage_PCM[V]                                           |
| X | Grille_shutter_A_pos_commanded_PCM[per]                                  |
| X | Grille_shutter_A_pos_inferred_PCM[per]                                   |
| X | Grille_shutter_B_pos_commanded_PCM[per]                                  |
| X | Grille_shutter_B_pos_measured_PCM[per]                                   |
| X | Eng_cyl_1_knock_perf_counter_PCM[]                                       |
| X | Eng_cyl_2_knock_perf_counter_PCM[]                                       |
| X | Eng_cyl_3_knock_perf_counter_PCM[]                                       |
| X | Eng_cyl_4_knock_perf_counter_PCM[]                                       |
| X | Eng_cyl_5_knock_perf_counter_PCM[]                                       |
| X | Eng_cyl_6_knock_perf_counter_PCM[]                                       |
| X | Eng_learned_knock_comb_performance_detection_rate_PCM[per]               |
| O | Eng_powertrain_drive_mode_actual_PCM[]                                   |
| O | Eng_idle_speed_desired_PCM[rpm]                                          |
| X | Eng_start_stop_out_of_op_PCM[]                                           |
| X | Eng_boost_pressure_desired_abs_PCM[kPa]                                  |
| X | Eng_throttle_position_relative_PCM[]                                     |
| O | Eng_torque_control_state_PCM[]                                           |
| X | Eng_VCT_sys_PCM[]                                                        |
| X | Eng_wastegate_pos_sensor_A_position_corrected_PCM[per]                   |
| X | Eng_wastegate_pos_sensor_B_position_corrected_PCM[per]                   |
| X | Eng_camshaft_exhaust_angle_desired_PCM[deg]                              |
| X | Eng_camshaft_intake_angle_desired_PCM[deg]                               |
| X | Trans_torque_converter_clutch_solenoid_press_TCM[kPa]                    |
| X | Trans_torque_converter_slip_ratio_TCM[]                                  |
| X | Trans_torque_converter_slip_actual_TCM[rpm]                              |
| X | Trans_torque_converter_slip_desired_TCM[rpm]                             |
| X | Trans_line_pressure_control_TCM[kPa]                                     |
| O | Trans_gear_ratio_measured_TCM[]                                          |
| X | Trans_shift_time_cmd_to_10_TCM[s]                                        |
| X | Trans_gear_commanded_output_state_control_TCM[]                          |
| X | Trans_line_pressure_desired_TCM[kPa]                                     |
| X | Trans_gear_engaged_output_state_control_TCM[]                            |
| X | Trans_gear_commanded by_output_state_control_TCM[]                       |
| X | Trans_intermediate_shaft_A_speed_raw_TCM[rpm]                            |
| X | Trans_intermediate_shaft_B_speed_raw_TCM[rpm]                            |
| X | Trans_output_shaft_speed_raw_TCM[rpm]                                    |
| X | Engine_speed_TCM[rpm]                                                    |
| X | Trans_shift_time_10_to_90_TCM[s]                                         |
| X | Trans_shift_solenoid_pressure_A_TCM[kPa]                                 |
| X | Trans_shift_solenoid_pressure_B_TCM[kPa]                                 |
| X | Trans_shift_solenoid_pressure_C_TCM[kPa]                                 |
| X | Trans_shift_solenoid_pressure_D_TCM[kPa]                                 |
| X | Trans_shift_solenoid_pressure_E_TCM[kPa]                                 |
| X | Trans_shift_solenoid_pressure_F_TCM[kPa]                                 |
| X | Eng_start_stop_main_control_state_TCM[]                                  |
| X | Eng_start_stop_monitor_state_TCM[]                                       |
| X | Trans_fluid_temp_TCM[C]                                                  |
| X | Veh_speed_high_res_TCM[kph]                                              |
| X | Veh_total_distance_TCM[km]                                               |
| X | Eng_fuel_low_side_press_PCM[kpa]                                         |
| X | Veh_4WD_L_engaged_CAN[]                                                  |
| X | 12VBatt_Curr_Hi_Hioki_I3[A]                                              |
| X | 12VBatt_Power_Hi_Hioki_P3[W]                                             |
| X | Eng_speed_CAN[rpm]                                                       |
| X | Trans_turbine_shaft_speed_raw_TCM[rpm]                                   |
| X | Pedal_brake_pos_CAN[]                                                    |
